MIGPUMA,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
1700800,36334,7310,19125,9899,10082,13854,12398,654,1870,517,1720,3302,1316,3783,1223,382,964,215,847,99,653,4563,7255,570,2320,1210,2871,3008,9620,10740,5656
1700900,66957,16536,35057,15364,18426,25990,22541,329,1096,367,2454,5786,1167,8695,1716,897,2637,662,1571,762,2837,9911,12659,620,6751,1854,4186,5087,15574,17801,11959
1701001,61878,14281,32326,15271,15725,22822,23331,475,405,868,2385,11946,2487,6697,3750,570,1792,346,1574,185,2268,5075,10206,429,5432,1617,3371,4854,16291,17355,9097
1701100,92398,22914,47062,22422,28056,31954,32388,316,74,576,3964,5425,2488,13811,6057,889,2452,1082,6430,291,3474,9992,15190,1540,11028,3928,3391,7941,21674,23936,15933
1701200,100372,25143,51606,23623,28302,34393,37677,288,182,431,5745,9751,5402,12913,7255,832,3010,908,4044,731,4239,10396,13175,1897,11105,4121,3947,8406,24418,25685,16720
1701300,128849,24954,71826,32069,27275,38502,63072,415,267,462,3596,3145,3408,11522,1331,1435,5711,965,6241,804,8455,8766,18998,1462,9228,5117,37521,9209,28419,35492,30775
1701500,49423,10762,26235,12426,11834,15745,21844,120,4,834,3122,10298,1816,5134,2611,416,1379,416,1616,138,1235,4075,7720,723,4537,1585,1644,3971,12664,13164,8862
1701602,40945,9465,20714,10766,11448,14704,14793,855,46,630,1951,6968,2123,4477,1211,548,1470,233,1478,25,999,4270,5677,407,3336,1091,3150,2988,11139,10644,6709
1701701,103582,22080,57230,24272,24560,33283,45739,160,53,917,3321,12665,3471,9560,1618,1587,3084,919,5763,4347,8021,7777,23159,2468,7688,3904,3100,7938,23280,27933,22351
1701900,47306,11196,24990,11120,13456,15828,18022,118,11,214,2889,5428,2694,6730,2898,465,2008,551,1546,611,1073,4558,4678,1606,5949,1351,1928,3569,11836,12449,8256
1702000,86400,20281,47218,18901,21032,24461,40907,398,14,234,2458,2718,1726,8033,1941,587,22003,874,2934,1276,4896,10636,8296,1310,9723,2953,3390,5568,17084,20004,23463
1702100,88522,21734,46792,19996,22787,28054,37681,325,28,206,3128,7027,2979,8553,2514,2380,2662,1641,3839,106,3728,19669,13181,1376,9972,2005,3203,6535,18462,21569,20222
1702200,52437,11141,27389,13907,13088,18624,20725,881,59,228,1844,8106,4337,6172,2003,1594,2065,248,866,246,1938,5489,7754,293,3444,1388,3482,4215,13890,14300,8891
