MIGPUMA,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
3702390,66840,15272,34044,17524,17257,29487,20096,146,76,255,4044,5350,891,9030,604,579,1243,678,2780,241,1963,6568,9225,5615,8662,2148,6742,6549,16726,17351,10942
3702500,47860,10290,24729,12841,11893,18864,17103,1043,21,73,2844,7611,1779,6584,754,439,870,432,1651,222,2043,4295,8056,793,5037,1537,1776,4767,11673,12204,8926
3702690,81101,18349,42387,20365,21439,32834,26828,395,80,487,4925,14918,2375,9877,3030,1414,1295,490,2249,213,5577,8796,9866,1269,7532,1855,4458,8479,20518,20538,13217
3702800,87885,18964,46651,22270,19076,35546,33263,89,26,354,2690,24429,4311,10657,4255,500,1199,558,3169,2237,5419,5051,10188,1032,7158,1677,2886,9481,22576,22739,14125
3703000,78756,17950,41846,18960,19693,29879,29184,38,94,594,3667,16990,2568,10568,1627,507,1164,977,1956,369,4691,6064,12548,900,7853,1741,3840,8621,19300,20079,12806
3703100,734592,166088,420422,148082,145337,209715,379540,1648,162,3945,35391,34908,41997,71672,38247,24994,70673,14710,62909,31232,65931,34757,84729,15812,65534,19187,16154,69478,147068,176960,174998
3703290,97889,26642,50989,20258,28344,34992,34553,467,64,232,5799,9210,4691,16346,3850,909,1427,1136,3094,1646,5320,8265,13227,3255,12593,2604,3754,9886,21687,23372,16302
3703400,50488,11594,26652,12242,13466,18283,18739,428,227,168,2728,7772,2558,5878,4063,166,697,206,1016,768,3084,4086,8459,742,4390,1022,2030,5412,12023,12863,8596
3703500,45522,10247,24010,11265,11247,18964,15311,78,64,126,2329,9482,2264,6043,1737,118,847,362,806,1407,3279,4921,4536,532,3983,1091,1517,5216,11414,11397,7248
3703600,47124,10253,25007,11864,10899,21354,14871,246,44,129,2538,15966,2368,4650,1082,216,869,374,703,323,3107,3626,4224,479,3716,1094,1370,6154,12571,11518,6628
3703700,46506,10463,24275,11768,13031,19088,14387,413,38,150,2144,4682,820,5490,534,393,814,381,1513,547,3022,3610,11449,1522,5786,1428,1770,5091,10687,12140,8125
3703800,25802,6608,13279,5915,8287,9930,7585,219,68,98,1890,1979,571,4716,765,127,526,284,778,253,946,4534,3384,251,2819,554,1040,2759,6036,6183,4216
3703900,37089,7810,19753,9526,8313,17732,11044,4799,0,44,1467,8733,1097,3783,607,182,411,117,463,1422,1446,3925,3897,68,2083,679,1866,5707,9446,9273,4853
3704000,39951,9233,20708,10010,10879,16429,12643,1261,6,275,1781,5101,1504,5988,1103,192,897,354,964,640,1341,4628,6227,246,4197,1056,2190,5093,9733,10034,5858
3704190,69337,17666,35834,15837,19852,29954,19531,643,32,394,4032,8402,1352,9909,1409,348,1176,952,2546,655,5437,7052,9225,633,9527,1748,3865,8328,16751,16687,9905
3704200,77718,19912,40700,17106,20929,27060,29729,547,21,505,3101,6619,1549,8960,711,814,1719,931,1761,1432,5928,10046,19173,473,9056,1636,2736,8136,16557,19130,13983
3704300,33159,7347,17227,8585,9072,12800,11287,264,33,91,1196,4098,656,4146,754,302,588,359,1715,149,2066,3214,6722,440,3978,959,1429,3499,7853,8681,5779
3704400,40925,9178,20658,11089,12045,16413,12467,610,6,165,2308,3738,1291,6308,677,300,802,681,1145,228,2617,4292,5375,935,5575,1296,2576,4480,10021,10407,6839
3704690,125924,31417,66920,27587,32623,44355,48946,526,22,339,9355,5619,5126,15931,2773,3487,3625,2493,9282,636,7440,10599,20383,2059,17190,4126,4913,12111,27148,30718,24530
3704800,31176,6683,15406,9087,9341,12171,9664,202,7,1051,2269,1475,834,4399,641,322,419,812,1143,3,2021,3059,3835,1444,4670,787,1783,3105,7242,8168,5978
3704990,65095,14078,34802,16215,17154,29130,18811,1276,4,204,2752,15210,1561,7177,1447,217,793,373,964,195,4660,7017,11369,127,5137,894,3718,8887,16896,16914,8320
3705000,110202,26623,59182,24397,30305,41342,38555,284,0,375,4757,6645,2425,17587,4223,1148,1815,1618,6231,465,6349,10547,21568,1305,14967,3066,4827,12716,25328,28227,17308
3705200,32848,7381,17766,7701,8670,14302,9876,411,124,166,1359,6647,698,4580,713,118,341,292,533,89,1817,3951,5138,187,2644,560,2480,4212,8598,8284,4373
3705390,75751,17442,41074,17235,17316,26889,31546,1092,53,289,8211,14056,4024,8802,3024,527,1055,590,3376,184,4820,7347,5734,812,5668,2299,3788,8565,18043,18237,13464
3800100,113657,28801,60325,24531,21392,25809,66456,764,19537,2378,8049,3099,6563,11463,7945,1232,3114,2228,3305,263,2697,8871,12001,2235,8986,3000,5927,9773,28032,29912,17139
3800200,51496,11258,25194,15044,12881,15998,22617,1197,308,362,1935,6824,3410,5374,1108,686,1723,389,1122,193,665,7060,8343,1754,3722,1240,4081,3514,12784,15023,8917
