ORIGIN,JWMNP,FINCP,GRNTP,HINCP,SMOCP,PINCP,HH_COST,PERNP,WAGP,UNEMP,EMP,type
1303400,20.0,81350.0,1028.0,75300.0,1019.5,37000.0,0.15757408875431855,36000.0,35000.0,24,835,stayers
1303500,20.0,61315.0,737.0,56400.0,665.0,33850.0,0.14634146341463417,30000.0,30000.0,25,619,stayers
1303600,15.0,75000.0,885.0,58450.0,982.0,30200.0,0.18896752706078268,30000.0,28000.0,19,476,stayers
1303700,20.0,77100.0,794.0,69200.0,883.0,42000.0,0.15059602649006623,39000.0,35000.0,25,658,stayers
1303800,30.0,80700.0,850.0,75000.0,993.0,37750.0,0.15474114441416892,35000.0,35000.0,30,796,stayers
1303900,25.0,76100.0,982.5,73160.0,969.0,40000.0,0.16304645849200305,37200.0,34000.0,16,553,stayers
1304000,20.0,62500.0,900.0,51100.0,750.0,32000.0,0.1791111111111111,30000.0,30000.0,40,651,stayers
1304007,30.0,89000.0,1300.0,83250.0,1305.0,40000.0,0.1814486921529175,40000.0,38000.0,108,3100,stayers
1304100,20.0,102615.0,1240.0,94950.0,1201.0,50000.0,0.13925558312655087,45000.0,43000.0,21,498,stayers
1304200,20.0,60950.0,589.0,52600.0,578.0,35000.0,0.14883720930232558,30000.0,30000.0,22,606,stayers
1304300,30.0,76000.0,1148.0,70000.0,1038.0,40000.0,0.1773543394140409,36000.0,35500.0,27,619,stayers
1304400,30.0,79000.0,1075.0,73000.0,1036.0,39500.0,0.16061538461538463,37000.0,37000.0,18,396,stayers
1304500,30.0,90105.0,1112.5,84000.0,1143.0,42000.0,0.15218181818181817,41000.0,40000.0,21,528,stayers
1305000,30.0,58900.0,1005.0,55600.0,912.5,30000.0,0.19061946902654867,29000.0,28000.0,60,916,stayers
1306000,30.0,89600.0,1184.0,85000.0,1122.0,44000.0,0.1607514450867052,40000.0,40000.0,29,705,stayers
1600190,15.0,65050.0,880.0,60700.0,900.0,36000.0,0.17073170731707316,32000.0,30000.0,42,1095,stayers
1600300,15.0,61500.0,700.0,56430.0,628.0,37000.0,0.15105511420059584,34000.0,31000.0,20,543,stayers
1600490,17.5,75365.0,950.0,68030.0,1013.0,38000.0,0.1700787401574803,36000.0,34700.0,81,2068,stayers
1600900,15.0,68950.0,723.0,60450.0,820.0,40000.0,0.1437762237762238,35000.0,34950.0,8,384,stayers
1601000,15.0,60000.0,790.0,59000.0,817.0,35000.0,0.1548,32350.0,30000.0,17,515,stayers
1601190,15.0,65950.0,697.0,63000.0,755.5,34000.0,0.14259194395796848,32000.0,30000.0,31,1028,stayers
1601200,15.0,83360.0,898.0,77050.0,1003.0,41000.0,0.14361702127659576,40000.0,40000.0,13,402,stayers
1700104,15.0,72000.0,708.5,62000.0,803.0,36800.0,0.15925465838509317,34000.0,32000.0,28,757,stayers
1700105,15.0,81000.0,763.5,68100.0,909.0,40000.0,0.1598614889933218,37000.0,36000.0,20,607,stayers
1700202,20.0,70250.0,723.0,61750.0,657.0,38000.0,0.1394674346477625,35000.0,33000.0,41,1107,stayers
1700300,20.0,65000.0,694.0,61030.0,718.0,36000.0,0.15105,34100.0,32000.0,23,695,stayers
1700401,20.0,67150.0,702.0,60500.0,703.0,35000.0,0.14407547169811322,32000.0,30000.0,42,914,stayers
1700501,17.0,77600.0,664.0,68600.0,758.0,38850.0,0.13672187993734056,35900.0,35000.0,32,950,stayers
1700600,15.0,68000.0,650.0,61000.0,693.0,34850.0,0.13818181818181818,31500.0,30000.0,24,542,stayers
1700700,15.0,62100.0,590.0,56000.0,600.0,34800.0,0.1368739829493701,31500.0,30000.0,26,627,stayers
1700800,20.0,62600.0,605.0,57300.0,603.0,36400.0,0.1419895287958115,34000.0,32000.0,30,752,stayers
1700900,20.0,62000.0,740.0,54100.0,664.0,32000.0,0.15065830721003134,30000.0,30000.0,58,847,stayers
1701001,20.0,73890.0,710.0,67600.0,795.0,38200.0,0.14164115074543088,35750.0,35000.0,46,1074,stayers
1701100,20.0,83400.0,913.0,72300.0,944.0,40000.0,0.1668937875751503,38000.0,36800.0,30,795,stayers
1701200,25.0,81000.0,875.0,73000.0,990.0,42015.0,0.1572579365079365,40000.0,39000.0,52,952,stayers
1701300,15.0,91030.0,842.0,78000.0,954.0,45300.0,0.14892116767733748,43000.0,40800.0,35,922,stayers
1701500,15.0,72000.0,742.0,61890.0,726.5,41000.0,0.1466875,37100.0,35000.0,25,482,stayers
1701602,20.0,71320.0,707.5,64000.0,722.0,38000.0,0.13989807692307693,35000.0,33850.0,50,1060,stayers
1701701,15.0,78600.0,785.0,70380.0,930.0,39000.0,0.16418309859154928,36000.0,35000.0,40,767,stayers
1701900,20.0,76500.0,714.0,69200.0,900.0,40000.0,0.16026923076923077,38000.0,36000.0,25,610,stayers
1702000,15.0,89350.0,877.0,76400.0,1090.0,43000.0,0.15997959183673469,40000.0,40000.0,28,898,stayers
1702100,15.0,90600.0,831.0,72100.0,1065.0,41800.0,0.16977391304347828,38400.0,36000.0,22,776,stayers
1702200,20.0,70200.0,710.0,61750.0,720.0,36900.0,0.14504545454545453,34200.0,32000.0,47,1021,stayers
1702300,20.0,83600.0,921.0,68900.0,1033.5,40000.0,0.17946957878315134,38000.0,35000.0,29,544,stayers
1702400,20.0,80000.0,750.0,67600.0,882.0,40000.0,0.1638888888888889,40000.0,37500.0,19,603,stayers
1702501,20.0,76800.0,700.0,69000.0,772.0,39000.0,0.14124590163934428,35450.0,34000.0,39,1159,stayers
1702601,20.0,90010.0,970.0,78000.0,1378.0,40000.0,0.1867479674796748,37000.0,35000.0,17,477,stayers
1702700,20.0,69750.0,730.0,64210.0,791.0,36800.0,0.1534,34000.0,32250.0,30,538,stayers
1702890,20.0,77000.0,820.0,68000.0,947.0,39000.0,0.16353846153846152,35000.0,35000.0,62,1227,stayers
1703000,25.0,101000.0,1259.0,97400.0,1500.0,43000.0,0.18839999999999998,41000.0,40000.0,59,1739,stayers
1703100,30.0,105000.0,1160.0,100000.0,1512.0,50000.0,0.18109090909090908,48000.0,46000.0,124,2798,stayers
