puma,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
4101000,37291,7682,19472,10137,8497,14744,14050,1808,144,250,1753,5210,634,3947,1298,285,757,414,994,461,2475,2628,6323,328,3649,1739,2194,3372,10218,10412,5607
4101103,33506,8911,16980,7615,9077,13775,10654,534,2,133,1910,2007,899,5320,650,211,635,509,738,217,1402,3704,5697,339,4096,1980,2523,3556,7133,8288,5618
4101104,77746,15234,43010,19502,14048,24618,39080,271,166,11,4184,3335,1059,7004,1606,1031,3626,1049,4163,841,5071,3863,16346,805,4763,2441,16111,6540,16504,22286,17182
4101105,42842,9360,22411,11071,9558,17628,15656,7002,151,172,4707,5597,1963,4522,2591,273,376,304,694,355,1490,3331,3651,441,2348,1667,1207,6460,9854,10529,6639
4101200,55214,13002,28550,13662,13366,22083,19765,4913,94,243,3160,8676,1186,5211,824,348,895,481,1154,414,1785,6662,7879,712,5666,2375,2536,6167,12145,14078,9822
4101301,68318,13926,39853,14539,12027,21763,34528,29,1,137,3697,8298,6989,5809,6922,472,301,720,3030,3305,3255,4838,9057,772,6514,3091,1081,6171,14374,17755,16092
4101302,66535,14590,36713,15232,13453,25969,27113,75,16,232,3678,3423,4223,8572,9721,266,783,1507,2281,644,4406,3241,11283,764,6428,3015,1977,5959,13771,17909,14306
4101303,38289,9421,21063,7805,9306,14846,14137,110,0,335,2508,3707,1710,4731,355,688,374,699,1681,1639,2740,3791,4828,872,4789,2480,252,3420,7601,9438,8409
4101305,94213,19266,55553,19394,18391,29877,45945,33,0,1123,3611,4149,3804,9267,762,2988,3448,1639,6525,4572,2614,5274,23314,2477,11047,3813,3753,7266,16935,24693,26053
4101314,182274,35837,109484,36953,25865,46936,109473,692,24,602,6453,5946,5713,9461,3199,8393,12249,4864,26821,9385,10596,27145,16939,4203,15668,7367,6554,11745,30073,45494,59125
4101316,59606,13982,31616,14008,13116,21925,24565,503,19,154,3876,8805,2962,7422,4097,392,2192,622,1389,426,3035,5101,8720,589,5516,2926,860,5518,11878,15581,12647
4101317,23951,5427,12300,6224,6297,9530,8124,3344,20,104,3381,2454,1392,2481,511,320,197,266,558,94,887,2051,1109,553,2252,1676,301,2925,5366,6121,4112
